id,text,pedagogical_context,gesture_label,animation_clip,gesture_function,language,source
explain_028,enterprise architecture adalah konsep yang digunakan untuk mengelola data dan informasi.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
correction_038,Bagian ini perlu dikoreksi karena masih kurang sesuai.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
pointing_027,Silakan lihat tabel berikut untuk memahami contoh enterprise architecture.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
correction_002,"Jawaban tersebut mendekati benar, tetapi perlu dilengkapi.",koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
emphasis_034,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
emphasis_024,Catat bahwa kualitas informasi sangat dipengaruhi oleh kualitas data.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
correction_031,Mari kita ulangi lagi agar konsepnya lebih jelas.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
emphasis_009,Catat bahwa kualitas informasi sangat dipengaruhi oleh kualitas data.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
pointing_026,Lihat bagian ini untuk memahami alur analisis sistem.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
correction_023,Bagian ini perlu dikoreksi karena masih kurang sesuai.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
idle_016,"Baik, saya siap membantu Anda.",menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
greeting_035,"Assalamualaikum, mari kita mulai kelas tentang basis data.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
greeting_020,"Assalamualaikum, mari kita mulai kelas tentang basis data.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
idle_038,Saya akan menunggu respons dari Anda.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
correction_028,Bagian ini perlu dikoreksi karena masih kurang sesuai.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
idle_033,Silakan ketik pertanyaan berikutnya.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
pointing_030,Silakan lihat tabel berikut untuk memahami contoh sistem pendukung keputusan.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
instruction_007,Kerjakan soal latihan secara mandiri selama sepuluh menit.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
idle_034,Saya menunggu pertanyaan Anda berikutnya.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
pointing_002,Lihat bagian ini untuk memahami alur machine learning.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
closing_017,Sampai jumpa pada pertemuan berikutnya.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
instruction_004,Coba tuliskan contoh penerapan analisis sistem dalam kehidupan sehari-hari.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
pointing_038,Silakan lihat tabel berikut untuk memahami contoh data mining.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
greeting_037,"Halo, selamat datang pada pembelajaran hari ini.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
appreciation_009,"Luar biasa, Anda dapat menjelaskan dengan runtut.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
idle_029,"Baik, saya siap membantu Anda.",menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
greeting_038,"Assalamualaikum, mari kita mulai kelas tentang machine learning.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
explain_021,"Konsep data mining berkaitan dengan manusia, proses, data, dan teknologi.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
instruction_037,Silakan kerjakan latihan tentang cloud computing setelah penjelasan ini.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
appreciation_010,Jawaban tersebut benar dan sesuai dengan materi.,apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
closing_004,Sampai jumpa pada pertemuan berikutnya.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
greeting_001,"Halo, selamat datang pada pembelajaran hari ini.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
closing_008,Sampai jumpa pada pertemuan berikutnya.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
closing_037,"Demikian pembelajaran hari ini, sampai bertemu pada sesi berikutnya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
correction_022,"Jawaban Anda belum sepenuhnya tepat, mari kita perbaiki bersama.",koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
greeting_023,"Assalamualaikum, mari kita mulai kelas tentang pemrograman web.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
instruction_019,Kerjakan soal latihan secara mandiri selama sepuluh menit.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
closing_031,"Demikian pembelajaran hari ini, sampai bertemu pada sesi berikutnya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
closing_027,"Baik, materi jaringan komputer kita akhiri sampai di sini.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
closing_036,"Baik, materi arsitektur komputer kita akhiri sampai di sini.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
greeting_034,"Selamat pagi, hari ini kita akan mulai materi sistem pendukung keputusan.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
greeting_028,"Halo semuanya, sebelum mulai mari kita siapkan perhatian.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
instruction_028,Perhatikan instruksi berikut sebelum mengerjakan tugas.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
emphasis_030,Bagian ini sangat penting untuk dipahami.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
correction_021,Mari kita ulangi lagi agar konsepnya lebih jelas.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
greeting_013,"Selamat pagi, hari ini kita akan mulai materi machine learning.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
instruction_038,Coba tuliskan contoh penerapan perancangan sistem dalam kehidupan sehari-hari.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
appreciation_021,"Sangat baik, contoh yang Anda berikan relevan.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
correction_004,Bagian ini perlu dikoreksi karena masih kurang sesuai.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
pointing_040,Lihat bagian ini untuk memahami alur sistem informasi.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
emphasis_028,Bagian ini sangat penting untuk dipahami.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
greeting_040,"Assalamualaikum, mari kita mulai kelas tentang perancangan sistem.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
appreciation_038,"Hebat, Anda sudah memahami konsep cloud computing.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
instruction_005,Coba tuliskan contoh penerapan sistem informasi dalam kehidupan sehari-hari.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
pointing_031,Lihat bagian ini untuk memahami alur manajemen proyek TI.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
emphasis_011,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
correction_027,Bagian ini perlu dikoreksi karena masih kurang sesuai.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
explain_018,"Dalam pembelajaran ini, jaringan komputer akan dijelaskan melalui beberapa tahapan.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
correction_035,Mari kita ulangi lagi agar konsepnya lebih jelas.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
appreciation_035,"Bagus, jawaban Anda sudah tepat.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
pointing_020,Perhatikan diagram manajemen proyek TI yang terlihat pada layar.,penunjukan objek atau bagian visual,pointing,Pointing,"Menunjuk diagram, gambar, papan, atau bagian penting",id,synthetic_initial_dataset
greeting_029,"Selamat datang, hari ini kita akan membahas analisis sistem.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
explain_040,Materi basis data menjelaskan bagaimana komponen saling berhubungan.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
closing_007,Sampai jumpa pada pertemuan berikutnya.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
explain_037,arsitektur komputer adalah konsep yang digunakan untuk mengelola data dan informasi.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
closing_040,"Baik, materi sistem pendukung keputusan kita akhiri sampai di sini.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
explain_014,"Secara umum, cloud computing dapat dipahami sebagai bagian penting dalam proses bisnis.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
correction_006,Coba perhatikan kembali definisi analisis sistem.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
idle_006,Saya akan menunggu respons dari Anda.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
closing_030,"Pembelajaran hari ini selesai, silakan pelajari kembali materinya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
explain_024,"Konsep kecerdasan buatan berkaitan dengan manusia, proses, data, dan teknologi.",penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
correction_025,"Jawaban Anda belum sepenuhnya tepat, mari kita perbaiki bersama.",koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
instruction_001,Silakan buka modul pembelajaran pada bagian manajemen proyek TI.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
closing_018,"Baik, materi data mining kita akhiri sampai di sini.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
closing_006,"Baik, materi keamanan informasi kita akhiri sampai di sini.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
instruction_032,Kerjakan soal latihan secara mandiri selama sepuluh menit.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
greeting_019,"Selamat pagi, hari ini kita akan mulai materi sistem pendukung keputusan.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
instruction_011,Kerjakan soal latihan secara mandiri selama sepuluh menit.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
closing_028,"Demikian pembelajaran hari ini, sampai bertemu pada sesi berikutnya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
greeting_017,"Halo semuanya, sebelum mulai mari kita siapkan perhatian.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
greeting_030,"Selamat datang, hari ini kita akan membahas cloud computing.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
emphasis_025,Perlu diperhatikan bahwa kecerdasan buatan tidak hanya berkaitan dengan teknologi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
instruction_024,Perhatikan instruksi berikut sebelum mengerjakan tugas.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
closing_003,Sampai jumpa pada pertemuan berikutnya.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
instruction_016,Coba tuliskan contoh penerapan kecerdasan buatan dalam kehidupan sehari-hari.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
appreciation_034,"Hebat, Anda sudah memahami konsep arsitektur komputer.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
idle_037,"Baik, saya siap membantu Anda.",menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
closing_025,"Baik, materi arsitektur komputer kita akhiri sampai di sini.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
emphasis_001,Bagian ini sangat penting untuk dipahami.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
idle_005,Silakan lanjutkan jika ada hal yang ingin ditanyakan.,menunggu atau transisi,idle,Idle,Diam atau menunggu input berikutnya,id,synthetic_initial_dataset
emphasis_027,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
closing_010,"Pembelajaran hari ini selesai, silakan pelajari kembali materinya.",penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
closing_035,Sampai jumpa pada pertemuan berikutnya.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
appreciation_011,"Luar biasa, Anda dapat menjelaskan dengan runtut.",apresiasi atau penguatan positif,appreciation,Talking_5,Memberikan penghargaan terhadap jawaban atau partisipasi,id,synthetic_initial_dataset
emphasis_038,Poin utama yang harus Anda ingat adalah fungsi sistem dalam organisasi.,penekanan konsep penting,emphasis,Talking_1,Memberikan penekanan pada poin utama,id,synthetic_initial_dataset
explain_035,Materi data mining menjelaskan bagaimana komponen saling berhubungan.,penjelasan materi,explain,Talking_6,Menjelaskan konsep atau materi pembelajaran,id,synthetic_initial_dataset
instruction_036,Perhatikan instruksi berikut sebelum mengerjakan tugas.,instruksi tugas atau aktivitas,instruction,Talking_4,Memberikan instruksi kepada siswa,id,synthetic_initial_dataset
closing_011,Sampai jumpa pada pertemuan berikutnya.,penutup pembelajaran,closing,Waving,Menutup sesi pembelajaran,id,synthetic_initial_dataset
greeting_012,"Selamat datang, hari ini kita akan membahas kecerdasan buatan.",pembuka pembelajaran,greeting,Greeting,Menyapa dan membuka interaksi pembelajaran,id,synthetic_initial_dataset
correction_007,Coba perhatikan kembali definisi sistem pendukung keputusan.,koreksi atau umpan balik perbaikan,correction,Talking_7,Memberikan koreksi atau klarifikasi,id,synthetic_initial_dataset
