session_id,timestamp,sentence_index,sentence_text,audio_file,audio_duration,start_time,end_time,duration,gesture_label,animation_clip,gesture_source,gesture_function,pedagogical_context,mouth_cue_count,dominant_mouth_cue,annotation_status,gold_gesture_label,suitability_score,naturalness_score,sync_score,engagement_support_score,annotator_name,notes
"SES-1779164415874","2026-05-19T04:20:15.881Z","3","Saya siap untuk membantu Anda dengan segala pertanyaan dan masalah.","generated.wav","10.464","5.03","10.464","5.434","correction","correction","sentence_rule_override","Memberikan koreksi","Koreksi","37","C","mapped","","","","","","",""
"SES-1779171292418","2026-05-19T06:14:52.424Z","0","Selamat pagi!","generated.wav","7.56","0","1.244","1.244","Greeting","Greeting","backend_sequence","Menyapa peserta didik","Pembuka pembelajaran","10","B","mapped","","","","","","",""
"SES-1779171292418","2026-05-19T06:14:52.424Z","1","Alhamdulillah, saya baik-baik saja.","generated.wav","7.56","1.244","4.593","3.349","normal","normal","backend_sequence","Gesture bicara umum","Penjelasan umum","22","B","mapped","","","","","","",""
"SES-1779171292418","2026-05-19T06:14:52.424Z","2","Terima kasih atas pertanyaanmu.","generated.wav","7.56","4.593","7.56","2.967","closing","closing","sentence_rule_override","Menutup pembelajaran","Penutup","20","B","mapped","","","","","","",""
"SES-1779171699257","2026-05-19T06:21:39.259Z","0","The term ""sistem informasi"" refers to a system that stores, processes, and retrieves information.","generated.wav","23.952","0","8.095","8.095","Greeting","Greeting","backend_sequence","Menyapa peserta didik","Pembuka pembelajaran","43","B","mapped","","","","","","",""
"SES-1779171699257","2026-05-19T06:21:39.259Z","1","In other words, it's a system designed to manage data efficiently.","generated.wav","23.952","8.095","13.603","5.508","Talking_3","Talking_3","backend_sequence","Menjelaskan konsep lanjutan","Elaborasi konsep","28","B","mapped","","","","","","",""
"SES-1779171699257","2026-05-19T06:21:39.259Z","2","This type of system is essential in various fields such as business, education, healthcare, and many more.","generated.wav","23.952","13.603","22.449","8.846","Greeting","Greeting","sentence_rule_override","Menyapa peserta didik","Pembuka pembelajaran","50","B","mapped","","","","","","",""
"SES-1779171699257","2026-05-19T06:21:39.259Z","3","GESTURES: Greeting","generated.wav","23.952","22.449","23.952","1.503","Idle","Idle","backend_sequence","Diam/menunggu","Menunggu","6","B","mapped","","","","","","",""
"SES-1779171846995","2026-05-19T06:24:07.001Z","0","The process of developing an information system typically involves several stages.","generated.wav","64.296","0","5.971","5.971","Greeting","Greeting","backend_sequence","Menyapa peserta didik","Pembuka pembelajaran","43","B","mapped","","","","","","",""
"SES-1779171846995","2026-05-19T06:24:07.001Z","1","Firstly, there is the planning stage where the organization identifies its informational needs and defines the scope of the project.","generated.wav","64.296","5.971","15.583","9.612","Talking_3","Talking_3","backend_sequence","Menjelaskan konsep lanjutan","Elaborasi konsep","56","B","mapped","","","","","","",""
"SES-1779171846995","2026-05-19T06:24:07.001Z","2","Next is the analysis stage, where data is collected and analyzed to identify problems and opportunities for improvement.","generated.wav","64.296","15.583","24.321","8.738","Talking_2","Talking_2","backend_sequence","Menjelaskan dengan gesture percakapan","Percakapan pembelajaran","58","C","mapped","","","","","","",""
"SES-1779171846995","2026-05-19T06:24:07.001Z","3","Then comes the design stage, where a detailed design of the system is created based on the findings from the analysis stage.","generated.wav","64.296","24.321","33.35","9.029","Talking_6","Talking_6","backend_sequence","Menjelaskan dengan gesture aktif","Penjelasan aktif","47","C","mapped","","","","","","",""
"SES-1779171846995","2026-05-19T06:24:07.001Z","4","After that, it's the implementation stage, where the system is built according to the design specifications.","generated.wav","64.296","33.35","41.214","7.864","menjelaskan_normal","menjelaskan_normal","backend_sequence","Menjelaskan secara normal","Penjelasan normal","49","B","mapped","","","","","","",""
"SES-1779171846995","2026-05-19T06:24:07.001Z","5","Finally, there is the evaluation stage, where the system is tested and refined to ensure it meets the original requirements.","generated.wav","64.296","41.214","50.243","9.029","normal","normal","backend_sequence","Gesture bicara umum","Penjelasan umum","50","B","mapped","","","","","","",""
"SES-1779171846995","2026-05-19T06:24:07.001Z","6","Throughout these stages, stakeholders, including end-users, developers, and other relevant parties, should be actively involved in the process to ensure that their needs are taken into account.","generated.wav","64.296","50.243","64.296","14.053","Talking_7","Talking_7","backend_sequence","Menjelaskan dengan variasi gerak","Variasi penjelasan","69","B","mapped","","","","","","",""
"SES-1779174876849","2026-05-19T07:14:36.858Z","0","The material of Information Systems is focused on the design and implementation of systems that use computer-based technology to support various business processes.","generated.wav","32.352","0","13.231","13.231","Talking_6","Talking_6","backend_sequence","Menjelaskan dengan gesture aktif","Penjelasan aktif","87","B","mapped","","","","","","",""
"SES-1779174876849","2026-05-19T07:14:36.858Z","1","This includes topics such as system analysis, design, development, testing, maintenance, and evaluation.","generated.wav","32.352","13.231","21.622","8.391","Greeting","Greeting","backend_sequence","Menyapa peserta didik","Pembuka pembelajaran","43","B","mapped","","","","","","",""
"SES-1779174876849","2026-05-19T07:14:36.858Z","2","Additionally, it covers the concepts of database management, data warehousing, data mining, and knowledge management.","generated.wav","32.352","21.622","31.061","9.439","Talking_2","Talking_2","backend_sequence","Menjelaskan dengan gesture percakapan","Percakapan pembelajaran","64","C","mapped","","","","","","",""
"SES-1779174876849","2026-05-19T07:14:36.858Z","3","GESTURES: Waving","generated.wav","32.352","31.061","32.352","1.291","normal","normal","backend_sequence","Gesture bicara umum","Penjelasan umum","7","B","mapped","","","","","","",""
"SES-1779176340155","2026-05-19T07:39:00.163Z","0","Halo mahasiswa!","generated.wav","47.688","0","1.255","1.255","Greeting","Greeting","sentence_rule_override","Menyapa peserta didik","Pembuka pembelajaran","10","C","mapped","","","","","","",""
"SES-1779176340155","2026-05-19T07:39:00.163Z","1","Sistem informasi (SI) adalah suatu sistem yang digunakan untuk mengumpulkan, memproses, dan menyimpan data dalam bentuk digital.","generated.wav","47.688","1.255","11.964","10.709","Waving","Waving","backend_sequence","Menyapa atau memberi transisi pembuka","Pembuka atau transisi","67","B","mapped","","","","","","",""
"SES-1779176340155","2026-05-19T07:39:00.163Z","2","SI biasanya terdiri dari beberapa komponen, seperti database, aplikasi, dan jaringan.","generated.wav","47.688","11.964","19.075","7.111","Talking_3","Talking_3","backend_sequence","Menjelaskan konsep lanjutan","Elaborasi konsep","37","B","mapped","","","","","","",""
"SES-1779176340155","2026-05-19T07:39:00.163Z","3","Fungsi utama SI adalah untuk membantu organisasi atau individu dalam membuat keputusan yang lebih baik dengan menggunakan data yang akurat dan cepat.","generated.wav","47.688","19.075","31.541","12.466","Talking_0","Talking_0","backend_sequence","Menjelaskan materi","Penjelasan konsep","68","B","mapped","","","","","","",""
"SES-1779176340155","2026-05-19T07:39:00.163Z","4","Contohnya, sebuah bank dapat menggunakan SI untuk mengelola transaksi nasabah dan memantau keuangan.","generated.wav","47.688","31.541","39.907","8.366","Talking_7","Talking_7","backend_sequence","Menjelaskan dengan variasi gerak","Variasi penjelasan","49","B","mapped","","","","","","",""
"SES-1779176340155","2026-05-19T07:39:00.163Z","5","Dalam pengajaran, SI juga digunakan untuk mengumpulkan data siswa dan mencatat hasil belajar.","generated.wav","47.688","39.907","47.688","7.781","Talking_1","Talking_1","sentence_rule_override","Membuka atau menekankan penjelasan","Penekanan awal","40","B","mapped","","","","","","",""
"SES-1779644739512","2026-05-24T17:45:39.937Z","0","Saya dapat membantu Anda untuk memahami fungsi dari gesture ""POINTING"" dalam diagram arsitektur ini.","generated.wav","42.048","0","9.082","9.082","POINTING","POINTING","backend_sequence","Gesture avatar","Konteks pembelajaran","60","B","mapped","","","","","","",""
"SES-1779644739512","2026-05-24T17:45:39.937Z","1","Dalam konteks ini, gesture ""POINTING"" digunakan untuk mengarahkan perhatian pada bagian tertentu pada layar.","generated.wav","42.048","9.082","18.89","9.808","Greeting","Greeting","backend_sequence","Menyapa peserta didik","Pembuka pembelajaran","63","B","mapped","","","","","","",""
"SES-1779644739512","2026-05-24T17:45:39.937Z","2","Fungsi utama dari gesture ini adalah untuk menunjukkan atau mengarahkan perhatian pada informasi yang penting dan harus diperhatikan.","generated.wav","42.048","18.89","30.969","12.079","instruction","instruction","sentence_rule_override","Memberikan instruksi","Instruksi tugas","70","C","mapped","","","","","","",""
"SES-1779644739512","2026-05-24T17:45:39.938Z","3","Dengan demikian, gesture ""POINTING"" berfungsi sebagai indikator bahwa Anda harus memperhatikan bagian tertentu pada layar.","generated.wav","42.048","30.969","42.048","11.079","instruction","instruction","sentence_rule_override","Memberikan instruksi","Instruksi tugas","59","B","mapped","","","","","","",""
"SES-1779780147850","2026-05-26T07:22:27.858Z","0","Selamat pagi, halo!","generated.wav","26.976","0","1.577","1.577","Greeting","Greeting","backend_sequence","Menyapa peserta didik","Pembuka pembelajaran","12","B","mapped","","","","","","",""
"SES-1779780147850","2026-05-26T07:22:27.858Z","1","Semangat pagi ya, saya harap Anda baik-baik saja!","generated.wav","26.976","1.577","5.644","4.067","TALKING","TALKING","backend_sequence","Gesture avatar","Konteks pembelajaran","29","B","mapped","","","","","","",""
"SES-1779780147850","2026-05-26T07:22:27.858Z","2","Sebagai guru virtual, saya ingin mengucapkan selamat datang dan siapakah Anda?","generated.wav","26.976","5.644","12.118","6.474","Waving","Waving","backend_sequence","Menyapa atau memberi transisi pembuka","Pembuka atau transisi","42","C","mapped","","","","","","",""
"SES-1779780147850","2026-05-26T07:22:27.858Z","3","Apa kabar Anda hari ini?","generated.wav","26.976","12.118","14.11","1.992","Talking_2","Talking_2","backend_sequence","Menjelaskan dengan gesture percakapan","Percakapan pembelajaran","9","B","mapped","","","","","","",""
"SES-1779780147850","2026-05-26T07:22:27.858Z","4","Saya siap membantu Anda dengan pertanyaan atau masalah yang Anda hadapi.","generated.wav","26.976","14.11","20.086","5.976","correction","correction","sentence_rule_override","Memberikan koreksi","Koreksi","35","B","mapped","","","","","","",""
"SES-1779780147850","2026-05-26T07:22:27.858Z","5","Jika Anda memiliki pertanyaan tentang materi pelajaran, jangan ragu untuk tanyakan!","generated.wav","26.976","20.086","26.976","6.89","Talking_3","Talking_3","backend_sequence","Menjelaskan konsep lanjutan","Elaborasi konsep","37","B","mapped","","","","","","",""
"SES-1779781506589","2026-05-26T07:45:06.595Z","0","Selamat pagi!","generated.wav","30.408","0","1.054","1.054","Greeting","Greeting","sentence_rule_override","Menyapa peserta didik","Pembuka pembelajaran","10","C","mapped","","","","","","",""
"SES-1779781506589","2026-05-26T07:45:06.595Z","1","Kinesik keterbukaan atau social warmth adalah salah satu bentuk gestures yang menunjukkan kesediaan untuk berinteraksi dan membina hubungan dengan orang lain.","generated.wav","30.408","1.054","13.866","12.812","correction","correction","sentence_rule_override","Memberikan koreksi","Koreksi","82","B","mapped","","","","","","",""
"SES-1779781506589","2026-05-26T07:45:06.595Z","2","Dalam konteks RAG, gesture standing greeting (STANDING_GREETING) memiliki fungsi sebagai bentuk keterbukaan sosial yang menunjukkan kemampuan avatar untuk berkomunikasi dan berinteraksi dengan orang lain.","generated.wav","30.408","13.866","30.408","16.542","menjelaskan_normal","menjelaskan_normal","backend_sequence","Menjelaskan secara normal","Penjelasan normal","87","B","mapped","","","","","","",""
"SES-1779782116757","2026-05-26T07:55:16.762Z","0","Saya senang dapat membantu!","generated.wav","77.448","0","2.14","2.14","TALKING","TALKING","backend_sequence","Gesture avatar","Konteks pembelajaran","15","B","mapped","","","","","","",""
"SES-1779782116757","2026-05-26T07:55:16.762Z","1","Proses mengembangkan sistem dapat dibagi menjadi beberapa tahapan.","generated.wav","77.448","2.14","7.372","5.232","Waving","Waving","backend_sequence","Menyapa atau memberi transisi pembuka","Pembuka atau transisi","33","B","mapped","","","","","","",""
"SES-1779782116757","2026-05-26T07:55:16.762Z","2","Pertama, kita harus memiliki ide atau konsep tentang sistem yang ingin kita kembangkan.","generated.wav","77.448","7.372","14.269","6.897","Talking_1","Talking_1","sentence_rule_override","Membuka atau menekankan penjelasan","Penekanan awal","39","B","mapped","","","","","","",""
"SES-1779782116757","2026-05-26T07:55:16.762Z","3","Kemudian, kita perlu membuat desain sistem dan memahami bagaimana sistem tersebut akan berfungsi.","generated.wav","77.448","14.269","21.958","7.689","terbuka","terbuka","backend_sequence","Menjelaskan dengan tangan terbuka","Penjelasan terbuka","49","B","mapped","","","","","","",""
"SES-1779782116757","2026-05-26T07:55:16.762Z","4","Tahapan selanjutnya adalah analisis kebutuhan dan pengumpulan data.","generated.wav","77.448","21.958","27.269","5.311","Talking_3","Talking_3","backend_sequence","Menjelaskan konsep lanjutan","Elaborasi konsep","35","B","mapped","","","","","","",""
"SES-1779782116757","2026-05-26T07:55:16.762Z","5","Kita perlu mengetahui apa yang dibutuhkan oleh sistem dan apa yang akan terjadi jika sistem tidak ada.","generated.wav","77.448","27.269","35.355","8.086","Talking_0","Talking_0","backend_sequence","Menjelaskan materi","Penjelasan konsep","45","C","mapped","","","","","","",""
"SES-1779782116757","2026-05-26T07:55:16.762Z","6","Setelah itu, kita dapat membuat prototipe atau model awal dari sistem dan menguji apakah sistem tersebut berfungsi seperti yang diinginkan.","generated.wav","77.448","35.355","46.374","11.019","Talking_7","Talking_7","backend_sequence","Menjelaskan dengan variasi gerak","Variasi penjelasan","70","B","mapped","","","","","","",""
"SES-1779782116757","2026-05-26T07:55:16.762Z","7","Tahapan terakhir adalah pengembangan sistem secara lebih lanjut, termasuk penambahan fitur dan perbaikan pada bagian-bagian yang kurang efektif.","generated.wav","77.448","46.374","57.789","11.415","Greeting","Greeting","sentence_rule_override","Menyapa peserta didik","Pembuka pembelajaran","73","C","mapped","","","","","","",""
"SES-1779782116757","2026-05-26T07:55:16.762Z","8","Setelah selesai, kita dapat melakukan uji coba dan evaluasi untuk memastikan bahwa sistem tersebut sesuai dengan kebutuhan dan berfungsi seperti yang diinginkan.","generated.wav","77.448","57.789","70.552","12.763","instruction","instruction","sentence_rule_override","Memberikan instruksi","Instruksi tugas","73","B","mapped","","","","","","",""
"SES-1779782116757","2026-05-26T07:55:16.762Z","9","Saya harap jawaban saya dapat membantu Anda dalam memahami proses mengembangkan sistem!","generated.wav","77.448","70.552","77.448","6.896","menjelaskan_normal","menjelaskan_normal","backend_sequence","Menjelaskan secara normal","Penjelasan normal","49","C","mapped","","","","","","",""
"SES-1779782597464","2026-05-26T08:03:17.473Z","0","Selamat datang!","generated.wav","22.296","0","1.212","1.212","Greeting","Greeting","backend_sequence","Menyapa peserta didik","Pembuka pembelajaran","12","C","mapped","","","","","","",""
"SES-1779782597464","2026-05-26T08:03:17.473Z","1","Saya senang dapat membantu menjawab pertanyaan Anda.","generated.wav","22.296","1.212","5.413","4.201","HEAD_NOD_YES","HEAD_NOD_YES","backend_sequence","Gesture avatar","Konteks pembelajaran","25","C","mapped","","","","","","",""
"SES-1779782597464","2026-05-26T08:03:17.473Z","2","""Betul saya sepakat"" berarti Anda setuju atau menyetujui sesuatu, namun tidak jelas apa yang Anda setujui.","generated.wav","22.296","5.413","13.976","8.563","Talking_1","Talking_1","backend_sequence","Membuka atau menekankan penjelasan","Penekanan awal","56","B","mapped","","","","","","",""
"SES-1779782597464","2026-05-26T08:03:17.473Z","3","Jika Anda memiliki pertanyaan atau masalah khusus, silakan kirimkan dan saya akan membantu menjawabnya.","generated.wav","22.296","13.976","22.296","8.32","instruction","instruction","sentence_rule_override","Memberikan instruksi","Instruksi tugas","48","C","mapped","","","","","","",""
"SES-1779782979453","2026-05-26T08:09:39.456Z","0","Mahasiswa!","generated.wav","49.584","0","0.825","0.825","HEAD_NOD_YES","HEAD_NOD_YES","backend_sequence","Gesture avatar","Konteks pembelajaran","6","C","mapped","","","","","","",""
"SES-1779782979453","2026-05-26T08:09:39.456Z","1","Jawaban Anda belum tentu benar, karena saya sebagai Guru Virtual tidak melihat jawaban Anda sebelumnya.","generated.wav","49.584","0.825","9.323","8.498","appreciation","appreciation","sentence_rule_override","Memberikan apresiasi","Apresiasi","62","B","mapped","","","","","","",""
"SES-1779782979453","2026-05-26T08:09:39.456Z","2","Namun, saya siap membantu Anda memahami materi dan memberikan feedback yang konstruktif.","generated.wav","49.584","9.323","16.583","7.26","menjelaskan_normal","menjelaskan_normal","backend_sequence","Menjelaskan secara normal","Penjelasan normal","44","C","mapped","","","","","","",""
"SES-1779782979453","2026-05-26T08:09:39.456Z","3","Untuk menjawab pertanyaan Anda, perlu diketahui bahwa ""benar"" dalam konteks akademik berarti sesuai dengan kaidah, prinsip, atau konsep yang diajarkan.","generated.wav","49.584","16.583","29.041","12.458","appreciation","appreciation","sentence_rule_override","Memberikan apresiasi","Apresiasi","71","C","mapped","","","","","","",""
"SES-1779782979453","2026-05-26T08:09:39.456Z","4","Jadi, sebelum dapat menentukan apakah jawaban Anda benar atau tidak, saya perlu memahami apa yang Anda jawabkan.","generated.wav","49.584","29.041","38.281","9.24","appreciation","appreciation","sentence_rule_override","Memberikan apresiasi","Apresiasi","61","B","mapped","","","","","","",""
"SES-1779782979453","2026-05-26T08:09:39.456Z","5","Mohon Anda jelaskan lebih lanjut tentang jawaban Anda, maka saya dapat membantu Anda memahami materi dan memberikan feedback yang sesuai.","generated.wav","49.584","38.281","49.584","11.303","Talking_0","Talking_0","backend_sequence","Menjelaskan materi","Penjelasan konsep","68","C","mapped","","","","","","",""
"SES-1779880175045","2026-05-27T11:09:35.086Z","0","Selamat malam, siswa!","generated.wav","14.904","0","1.63","1.63","Greeting","Greeting","sentence_rule_override","Menyapa peserta didik","Pembuka pembelajaran","14","B","mapped","","","","","","",""
"SES-1779880175045","2026-05-27T11:09:35.086Z","1","Sistem informasi berbasis kecerdasan artifisial adalah teknologi yang memungkinkan sistem komputer membuat keputusan dan mengambil tindakan berdasarkan data yang diterima.","generated.wav","14.904","1.63","14.904","13.274","normal","normal","backend_sequence","Gesture bicara umum","Penjelasan umum","79","B","mapped","","","","","","",""
"SES-1779884208280","2026-05-27T12:16:48.310Z","0","Halo, siswa!","generated.wav","5.16","0","1.191","1.191","Greeting","Greeting","sentence_rule_override","Menyapa peserta didik","Pembuka pembelajaran","6","X","mapped","","","","","","",""
"SES-1779884208280","2026-05-27T12:16:48.311Z","1","Selamat datang ke pembelajaran hari ini.","generated.wav","5.16","1.191","5.16","3.969","Talking_4","Talking_4","backend_sequence","Memberikan penguatan penjelasan","Penguatan materi","24","C","mapped","","","","","","",""
"SES-1779884339141","2026-05-27T12:18:59.145Z","0","Saya senang bertemu dengan Anda!","generated.wav","16.512","0","2.553","2.553","POINTING","POINTING","backend_sequence","Gesture avatar","Konteks pembelajaran","18","B","mapped","","","","","","",""
"SES-1779884339141","2026-05-27T12:18:59.145Z","1","Untuk membangun sistem informasi, poin-poin pentingnya adalah merancang struktur data yang tepat, membuat algoritma yang efektif, serta mengintegrasikan teknologi yang sesuai.","generated.wav","16.512","2.553","16.512","13.959","appreciation","appreciation","sentence_rule_override","Memberikan apresiasi","Apresiasi","87","B","mapped","","","","","","",""
"SES-1779890176966","2026-05-27T13:56:16.972Z","0","Saya senang melihat Anda telah memahami diagram arsitektur ini!","generated.wav","16.2","0","6.075","6.075","POINTING","POINTING","backend_sequence","Gesture avatar","Konteks pembelajaran","42","C","mapped","","","","","","",""
"SES-1779890176966","2026-05-27T13:56:16.973Z","1","Diagram seperti itu biasanya digunakan untuk mewakili struktur atau hubungan antar komponen dalam sistem.","generated.wav","16.2","6.075","16.2","10.125","Talking_1","Talking_1","backend_sequence","Membuka atau menekankan penjelasan","Penekanan awal","51","B","mapped","","","","","","",""
"SES-1779892427839","2026-05-27T14:33:48.113Z","0","Selamat malam, siswa!","generated.wav","5.016","0","2.195","2.195","Greeting","Greeting","sentence_rule_override","Menyapa peserta didik","Pembuka pembelajaran","14","C","mapped","","","","","","",""
"SES-1779892427839","2026-05-27T14:33:48.113Z","1","Kami senang melihatmu lagi.","generated.wav","5.016","2.195","5.016","2.821","normal","normal","backend_sequence","Gesture bicara umum","Penjelasan umum","16","C","mapped","","","","","","",""
"SES-1779892710834","2026-05-27T14:38:30.836Z","0","Halo siswa!","generated.wav","9.648","0","0.899","0.899","Greeting","Greeting","sentence_rule_override","Menyapa peserta didik","Pembuka pembelajaran","6","H","mapped","","","","","","",""
"SES-1779892710834","2026-05-27T14:38:30.836Z","1","Diagram arsitektur ini menunjukkan bagaimana berbagai komponen bekerja sama untuk mencapai tujuan tertentu.","generated.wav","9.648","0.899","9.648","8.749","normal","normal","backend_sequence","Gesture bicara umum","Penjelasan umum","57","B","mapped","","","","","","",""
"SES-1779892795599","2026-05-27T14:39:55.601Z","0","Halo!","generated.wav","7.416","0","0.417","0.417","Greeting","Greeting","sentence_rule_override","Menyapa peserta didik","Pembuka pembelajaran","4","X","mapped","","","","","","",""
"SES-1779892795599","2026-05-27T14:39:55.601Z","1","Diagram yang kamu lihat itu tampak seperti diagram alur kerja atau flowchart, bukan?","generated.wav","7.416","0.417","7.416","6.999","normal","normal","backend_sequence","Gesture bicara umum","Penjelasan umum","45","B","mapped","","","","","","",""
"SES-1779892889656","2026-05-27T14:41:29.659Z","0","Selamat Idul Adha, siswa!","generated.wav","11.256","0","2.148","2.148","STANDING_GREETING","STANDING_GREETING","backend_sequence","Gesture avatar","Konteks pembelajaran","13","C","mapped","","","","","","",""
"SES-1779892889656","2026-05-27T14:41:29.659Z","1","Hari raya ini adalah kesempatan bagi kita untuk berbagi cinta, kasih sayang, dan kepedulian dengan sesama.","generated.wav","11.256","2.148","11.256","9.108","normal","normal","backend_sequence","Gesture bicara umum","Penjelasan umum","59","B","mapped","","","","","","",""
"SES-1779895007545","2026-05-27T15:16:47.551Z","0","Saya senang membantu Anda!","generated.wav","13.056","0","2.294","2.294","POINTING","POINTING","backend_sequence","Gesture avatar","Konteks pembelajaran","17","C","mapped","","","","","","",""
"SES-1779895007545","2026-05-27T15:16:47.551Z","1","Diagram arsitektur sistem ini memiliki beberapa bagian penting, seperti layer aplikasi, layer database, dan layer network.","generated.wav","13.056","2.294","13.056","10.762","Talking_1","Talking_1","backend_sequence","Membuka atau menekankan penjelasan","Penekanan awal","58","B","mapped","","","","","","",""
