annotation_id,session_id,timestamp,user_input,ai_response,predicted_gesture,predicted_gesture_sequence,confidence,audio_duration,animation_clip,lip_sync_file,pedagogical_context,gold_gesture_label,gold_gesture_sequence,gesture_function,suitability_score,naturalness_score,sync_score,engagement_support_score,annotator_name,validation_status,notes
"SES-1779164415874","SES-1779164415874","2026-05-19T04:20:15.875Z","selamat pagi apa kabar hari ini? ","Halo! Pagi yang indah dan cerah! Hari ini saya rasa sangat baik. Saya siap untuk membantu Anda dengan segala pertanyaan dan masalah.","Greeting","Greeting|Waving|Talking_3|Talking_6|Talking_1","","10.464","Greeting","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779171292418","SES-1779171292418","2026-05-19T06:14:52.419Z","selamat siang halo apa kabar?","Selamat pagi! Alhamdulillah, saya baik-baik saja. Terima kasih atas pertanyaanmu.","Greeting","Greeting|normal|Talking_0|Idle","","7.56","Greeting","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779171699257","SES-1779171699257","2026-05-19T06:21:39.257Z","jelasakan sistem informasi","The term ""sistem informasi"" refers to a system that stores, processes, and retrieves information. In other words, it's a system designed to manage data efficiently. This type of system is essential in various fields such as business, education, healthcare, and many more.

GESTURES: Greeting","Greeting","Greeting|Talking_3|Talking_3|Idle|Talking_4|menjelaskan_normal|Talking_2|Talking_6","","23.952","Greeting","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779171846995","SES-1779171846995","2026-05-19T06:24:06.996Z","bagaimana proses pengembangan sistem informasi","The process of developing an information system typically involves several stages. Firstly, there is the planning stage where the organization identifies its informational needs and defines the scope of the project. Next is the analysis stage, where data is collected and analyzed to identify problems and opportunities for improvement.

Then comes the design stage, where a detailed design of the system is created based on the findings from the analysis stage. After that, it's the implementation stage, where the system is built according to the design specifications. Finally, there is the evaluation stage, where the system is tested and refined to ensure it meets the original requirements.

Throughout these stages, stakeholders, including end-users, developers, and other relevant parties, should be actively involved in the process to ensure that their needs are taken into account.","Greeting","Greeting|Talking_3|Talking_2|Talking_6|menjelaskan_normal|normal|Talking_7|Talking_4|normal|Talking_6|terbuka|Talking_5|Talking_6|Talking_7|Talking_2|Talking_5|Talking_4|Talking_0|normal|Talking_5|Talking_3|Talking_4","","64.296","Greeting","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779174876849","SES-1779174876849","2026-05-19T07:14:36.851Z","Jelaskan tentang materi sistem informasi","The material of Information Systems is focused on the design and implementation of systems that use computer-based technology to support various business processes. This includes topics such as system analysis, design, development, testing, maintenance, and evaluation. Additionally, it covers the concepts of database management, data warehousing, data mining, and knowledge management.

GESTURES: Waving","Talking_6","Talking_6|Greeting|Talking_2|normal|Talking_3|Talking_6|Talking_7|Talking_6|Talking_0|terbuka|Talking_3","","32.352","Talking_6","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779176340155","SES-1779176340155","2026-05-19T07:39:00.156Z","Jelaskan tentang materi sistem informasi","Halo mahasiswa! Sistem informasi (SI) adalah suatu sistem yang digunakan untuk mengumpulkan, memproses, dan menyimpan data dalam bentuk digital. SI biasanya terdiri dari beberapa komponen, seperti database, aplikasi, dan jaringan.

Fungsi utama SI adalah untuk membantu organisasi atau individu dalam membuat keputusan yang lebih baik dengan menggunakan data yang akurat dan cepat. Contohnya, sebuah bank dapat menggunakan SI untuk mengelola transaksi nasabah dan memantau keuangan. Dalam pengajaran, SI juga digunakan untuk mengumpulkan data siswa dan mencatat hasil belajar.","Talking_6","Talking_6|Waving|Talking_3|Talking_0|Talking_7|terbuka|Idle|terbuka|Talking_5|normal|Talking_0|Talking_5|Talking_0|Talking_2|normal|Talking_5","","47.688","Talking_6","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779644739512","SES-1779644739512","2026-05-24T17:45:39.930Z","Perhatikan bagian penting pada diagram arsitektur ini","Saya dapat membantu Anda untuk memahami fungsi dari gesture ""POINTING"" dalam diagram arsitektur ini.

Dalam konteks ini, gesture ""POINTING"" digunakan untuk mengarahkan perhatian pada bagian tertentu pada layar. Fungsi utama dari gesture ini adalah untuk menunjukkan atau mengarahkan perhatian pada informasi yang penting dan harus diperhatikan. Dengan demikian, gesture ""POINTING"" berfungsi sebagai indikator bahwa Anda harus memperhatikan bagian tertentu pada layar.","POINTING","POINTING|Greeting|Talking_5|normal|Idle|Talking_0|Talking_6|Talking_0|Talking_4|Talking_6|normal|Talking_5|Talking_7|Talking_0|Talking_6","","42.048","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779780147850","SES-1779780147850","2026-05-26T07:22:27.851Z","Selamat Pagi, halo apa kabar","Selamat pagi, halo! Semangat pagi ya, saya harap Anda baik-baik saja!

Sebagai guru virtual, saya ingin mengucapkan selamat datang dan siapakah Anda? Apa kabar Anda hari ini? Saya siap membantu Anda dengan pertanyaan atau masalah yang Anda hadapi. Jika Anda memiliki pertanyaan tentang materi pelajaran, jangan ragu untuk tanyakan!","Greeting","Greeting|TALKING|Waving|Talking_2|Talking_0|Talking_3|Talking_5|Talking_1|normal","","26.976","Greeting","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779781506589","SES-1779781506589","2026-05-26T07:45:06.590Z","Halo selamat pagi","Selamat pagi!

Kinesik keterbukaan atau social warmth adalah salah satu bentuk gestures yang menunjukkan kesediaan untuk berinteraksi dan membina hubungan dengan orang lain. Dalam konteks RAG, gesture standing greeting (STANDING_GREETING) memiliki fungsi sebagai bentuk keterbukaan sosial yang menunjukkan kemampuan avatar untuk berkomunikasi dan berinteraksi dengan orang lain.","STANDING_GREETING","STANDING_GREETING|Greeting|menjelaskan_normal|Talking_1|Talking_2|terbuka|Talking_2|Talking_5|Talking_0|Talking_3|normal","","30.408","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779782116757","SES-1779782116757","2026-05-26T07:55:16.758Z","Bagaimana urutan proses mengembangkan sistem","Saya senang dapat membantu!

Proses mengembangkan sistem dapat dibagi menjadi beberapa tahapan. Pertama, kita harus memiliki ide atau konsep tentang sistem yang ingin kita kembangkan. Kemudian, kita perlu membuat desain sistem dan memahami bagaimana sistem tersebut akan berfungsi.

Tahapan selanjutnya adalah analisis kebutuhan dan pengumpulan data. Kita perlu mengetahui apa yang dibutuhkan oleh sistem dan apa yang akan terjadi jika sistem tidak ada. Setelah itu, kita dapat membuat prototipe atau model awal dari sistem dan menguji apakah sistem tersebut berfungsi seperti yang diinginkan.

Tahapan terakhir adalah pengembangan sistem secara lebih lanjut, termasuk penambahan fitur dan perbaikan pada bagian-bagian yang kurang efektif. Setelah selesai, kita dapat melakukan uji coba dan evaluasi untuk memastikan bahwa sistem tersebut sesuai dengan kebutuhan dan berfungsi seperti yang diinginkan.

Saya harap jawaban saya dapat membantu Anda dalam memahami proses mengembangkan sistem!","TALKING","TALKING|Waving|Talking_4|terbuka|Talking_3|Talking_0|Talking_7|Talking_5|normal|menjelaskan_normal|Talking_5|Talking_7|Talking_3|menjelaskan_normal|Talking_4|Talking_3|Talking_2|Talking_5|Talking_2|Talking_7|Talking_0|Talking_7|normal|Talking_4|terbuka|Talking_4","","77.448","TALKING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779782597464","SES-1779782597464","2026-05-26T08:03:17.466Z","Halo, Betul saya sepakat","Selamat datang! Saya senang dapat membantu menjawab pertanyaan Anda. ""Betul saya sepakat"" berarti Anda setuju atau menyetujui sesuatu, namun tidak jelas apa yang Anda setujui. Jika Anda memiliki pertanyaan atau masalah khusus, silakan kirimkan dan saya akan membantu menjawabnya.","Greeting","Greeting|HEAD_NOD_YES|Talking_1|Talking_6|Talking_4|Idle|terbuka|Talking_5","","22.296","Greeting","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779782979453","SES-1779782979453","2026-05-26T08:09:39.453Z","Bu, apakah jawaban saya sudah benar?","Mahasiswa! Jawaban Anda belum tentu benar, karena saya sebagai Guru Virtual tidak melihat jawaban Anda sebelumnya. Namun, saya siap membantu Anda memahami materi dan memberikan feedback yang konstruktif.

Untuk menjawab pertanyaan Anda, perlu diketahui bahwa ""benar"" dalam konteks akademik berarti sesuai dengan kaidah, prinsip, atau konsep yang diajarkan. Jadi, sebelum dapat menentukan apakah jawaban Anda benar atau tidak, saya perlu memahami apa yang Anda jawabkan. Mohon Anda jelaskan lebih lanjut tentang jawaban Anda, maka saya dapat membantu Anda memahami materi dan memberikan feedback yang sesuai.","HEAD_NOD_YES","HEAD_NOD_YES|Waving|menjelaskan_normal|Talking_2|terbuka|Talking_0|Talking_1|Talking_5|Talking_6|Talking_0|Talking_4|menjelaskan_normal|Talking_7|Talking_3|Talking_6|Talking_5|Talking_7","","49.584","HEAD_NOD_YES","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779880175045","SES-1779880175045","2026-05-27T11:09:35.077Z","Selamat Malam bu,  mohon jelaskan sistem informasi berbasis kecerdasan artifisial.","Selamat malam, siswa! Sistem informasi berbasis kecerdasan artifisial adalah teknologi yang memungkinkan sistem komputer membuat keputusan dan mengambil tindakan berdasarkan data yang diterima.","TALKING","TALKING|normal|Talking_2|Talking_6|Talking_3","0.1217","14.904","TALKING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779884208280","SES-1779884208280","2026-05-27T12:16:48.282Z","halo apa kabar bu? apa saja poin poin penting dalam membagun sistem","Halo, siswa! Selamat datang ke pembelajaran hari ini.","STANDING_GREETING","STANDING_GREETING|Talking_4","0.0933","5.16","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779884339141","SES-1779884339141","2026-05-27T12:18:59.142Z","Bagaimana poin ppoin membangun sistem informasi","Saya senang bertemu dengan Anda! Untuk membangun sistem informasi, poin-poin pentingnya adalah merancang struktur data yang tepat, membuat algoritma yang efektif, serta mengintegrasikan teknologi yang sesuai.","POINTING","POINTING|normal|menjelaskan_normal|normal|Talking_3|normal","0.0646","16.512","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779890176966","SES-1779890176966","2026-05-27T13:56:16.967Z","perhatikan diagram arsitektur ini","Saya senang melihat Anda telah memahami diagram arsitektur ini! Diagram seperti itu biasanya digunakan untuk mewakili struktur atau hubungan antar komponen dalam sistem.","POINTING","POINTING|Talking_1|Talking_4|Talking_0|terbuka|normal","0.0766","16.2","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779892427839","SES-1779892427839","2026-05-27T14:33:47.839Z","selamat malam ","Selamat malam, siswa! Kami senang melihatmu lagi.","POINTING","POINTING|normal","0.0781","5.016","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779892710834","SES-1779892710834","2026-05-27T14:38:30.834Z","perhatikan diagram arsitektur ini","Halo siswa! Diagram arsitektur ini menunjukkan bagaimana berbagai komponen bekerja sama untuk mencapai tujuan tertentu.","STANDING_GREETING","STANDING_GREETING|normal|menjelaskan_normal|terbuka","0.0722","9.648","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779892795599","SES-1779892795599","2026-05-27T14:39:55.600Z","perhatikan diagram berikut ini","Halo! Diagram yang kamu lihat itu tampak seperti diagram alur kerja atau flowchart, bukan?","POINTING","POINTING|normal|Talking_6","0.0681","7.416","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779892889656","SES-1779892889656","2026-05-27T14:41:29.657Z","ucapan selamat idul adha ","Selamat Idul Adha, siswa! Hari raya ini adalah kesempatan bagi kita untuk berbagi cinta, kasih sayang, dan kepedulian dengan sesama.","STANDING_GREETING","STANDING_GREETING|normal|Talking_4|terbuka","0.0756","11.256","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779895007545","SES-1779895007545","2026-05-27T15:16:47.546Z","Tolong jelaskan bagian penting pada diagram arsitektur sistem ini","Saya senang membantu Anda! Diagram arsitektur sistem ini memiliki beberapa bagian penting, seperti layer aplikasi, layer database, dan layer network.","POINTING","POINTING|Talking_1|Talking_1|Talking_2|Talking_5","0.0731","13.056","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779895508697","SES-1779895508697","2026-05-27T15:25:08.697Z","Ucapan untuk Selamat hari raya idul adha","""Selamat Hari Raya Idul Adha, siswa! Semoga hari raya ini membawa keberkahan dan keselamatan bagi Anda dan keluarga.""","STANDING_GREETING","STANDING_GREETING|Talking_0|Talking_2|terbuka","0.0818","9.696","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779974379158","SES-1779974379158","2026-05-28T13:19:39.159Z","perhatikan diagram arsitektur ini","Halo siswa! Diagram arsitektur ini memperlihatkan struktur sistem yang kompleks, tapi jangan khawatir, kita akan memahami setiap bagian dari diagram ini secara detail.","POINTING","POINTING|normal|normal|menjelaskan_normal|normal","0.0699","13.272","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779976414016","SES-1779976414016","2026-05-28T13:53:34.017Z","perhatikan diagram arsitektur ini","Halo siswa! Diagram arsitektur ini terlihat kompleks, tapi mari kita mulai dengan memahami struktur dasarnya.","POINTING","POINTING|normal|normal|Talking_6","0.07","10.056","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779976664362","SES-1779976664362","2026-05-28T13:57:44.363Z"," mengapa algoritma ini membutuhkan waktu eksekusi lebih lama?","Saya senang bertemu denganmu! Algoritma tersebut membutuhkan waktu eksekusi lebih lama karena harus melakukan beberapa proses yang rumit, seperti analisis data dan pengolahan informasi, sehingga memerlukan waktu yang lebih lama untuk selesai.","THINKING","THINKING|Talking_1|Talking_7|Talking_5|normal|Talking_3|Talking_0","0.0984","19.224","THINKING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779976871275","SES-1779976871275","2026-05-28T14:01:11.275Z","okus pada bagian proses input dan output","Saya senang melihat Anda tertarik pada bagian proses input dan output! Proses input dan output adalah dua bagian penting dalam sistem komputasi, dimana input berupa data atau perintah yang diterima oleh sistem, sedangkan output berupa hasil atau respons yang diberikan oleh sistem.","POINTING","POINTING|Talking_1|Talking_6|Talking_7|normal|Talking_6|normal|menjelaskan_normal","0.0797","22.272","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779978951896","SES-1779978951896","2026-05-28T14:35:51.897Z","perhaikan diagram arsitektur ini","Saya senang melihat kamu ingin memahami diagram arsitektur ini! Sebelum kita perhaikan, mari kita lihat struktur diagramnya terlebih dahulu.","POINTING","POINTING|normal|Talking_3|Talking_6|normal","0.0684","12.792","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779981290031","SES-1779981290031","2026-05-28T15:14:50.033Z","Bu, tolong jelaskan bagian penting pada diagram arsitektur sistem ini","Saya senang membantu! Diagram arsitektur sistem ini membagi bagian penting menjadi tiga bagian: input, processing, dan output.","POINTING","POINTING|normal|Talking_1|Talking_5","0.0724","10.776","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779981469543","SES-1779981469543","2026-05-28T15:17:49.544Z","halo bu selamat malam apakah ibu setuju dengan ide saya","Halo siswa! Selamat malam!","STANDING_GREETING","STANDING_GREETING","0.0788","2.544","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779981534219","SES-1779981534219","2026-05-28T15:18:54.219Z","apakah ibu setuju","Selamat datang, siswa! Saya setuju dengan pertanyaan Anda.","STANDING_GREETING","STANDING_GREETING|Talking_1","0.0782","5.448","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779981665941","SES-1779981665941","2026-05-28T15:21:05.941Z","bagaimana alur pengembangan sistem ","Halo siswa! Alur pengembangan sistem biasanya melibatkan tahapan-tahapan seperti perencanaan, desain, implementasi, testing, dan evaluasi.","STANDING_GREETING","STANDING_GREETING|normal|Talking_1|Talking_3|Talking_5","0.0667","12.216","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779981852054","SES-1779981852054","2026-05-28T15:24:12.054Z","sebutkan langkah pertama hingga kelima dalam membangun sistem informasi penjualan","Halo siswa! Langkah pertama hingga kelima dalam membangun sistem informasi penjualan adalah: 1.","STANDING_GREETING","STANDING_GREETING|normal|Talking_4|normal","0.0743","9.096","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779981969543","SES-1779981969543","2026-05-28T15:26:09.543Z","jelaskan yang dimaksud basis data dan contohnya","Halo siswa! Basis data (database) adalah kumpulan data yang tersimpan secara sistematis dan dapat diakses kembali.","STANDING_GREETING","STANDING_GREETING|Talking_1|normal|Talking_7","0.0655","9.552","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779982129340","SES-1779982129340","2026-05-28T15:28:49.340Z","sebutkan lima langkah merancang basis data","Halo siswa! Lima langkah merancang basis data adalah: pertama, menentukan tujuan basis data; kedua, mengidentifikasi objek dan atributnya; ketiga, membuat desain tabel; keempat, membuat query dan script; dan kelima, memantau dan meningkatkan kualitas basis data.","STANDING_GREETING","STANDING_GREETING|Talking_3|terbuka|normal|menjelaskan_normal|terbuka|Talking_7|terbuka","0.0847","23.712","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1779982512119","SES-1779982512119","2026-05-28T15:35:12.121Z","apakah ibu setuju","Ya, saya setuju!","HEAD_NOD_YES","HEAD_NOD_YES|Talking_1","0.0762","2.208","HEAD_NOD_YES","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780149235799","SES-1780149235799","2026-05-30T13:53:55.804Z","apakah ibu setuju?","Ya, saya setuju.","HEAD_NOD_YES","HEAD_NOD_YES|HEAD_NOD_YES|HEAD_NOD_YES","0.0762","2.232","HEAD_NOD_YES","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780150958810","SES-1780150958810","2026-05-30T14:22:38.811Z","selamat malam apa kabar bu","Selamat malam! Apa kabar Anda?","STANDING_GREETING","STANDING_GREETING|STANDING_GREETING","0.0751","2.88","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780150997761","SES-1780150997761","2026-05-30T14:23:17.762Z","Saya baik, kalau ibu?","Iya, saya siap membantu!","POINTING","POINTING|POINTING|POINTING","0.069","2.76","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780151041110","SES-1780151041110","2026-05-30T14:24:01.110Z","apakah ibu setuju?","Ya, saya setuju!","HEAD_NOD_YES","HEAD_NOD_YES|HEAD_NOD_YES|HEAD_NOD_YES","0.0762","2.208","HEAD_NOD_YES","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780286072612","SES-1780286072612","2026-06-01T03:54:32.613Z","selamat pagi bu","Saya siap membantu Anda!","POINTING","POINTING|POINTING|POINTING","0.0286","2.352","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780286144323","SES-1780286144323","2026-06-01T03:55:44.323Z","apakah ibu setuju","Ya, saya setuju.","HEAD_NOD_YES","HEAD_NOD_YES|HEAD_NOD_YES|HEAD_NOD_YES","0.0306","2.232","HEAD_NOD_YES","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780286435089","SES-1780286435089","2026-06-01T04:00:35.090Z","Amati dengan teliti bagian visual berikut sebelum kita masuk ke pembahasan berikutnya.","Perhatikan bagian visual tersebut dengan seksama, agar kita dapat memahami konsep yang akan dibahas selanjutnya.","POINTING","POINTING|POINTING|POINTING","0.0345","8.568","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780287829247","SES-1780287829247","2026-06-01T04:23:49.247Z","Amati dengan teliti bagian visual berikut sebelum kita masuk ke pembahasan berikutnya","Perhatikan bagian visual tersebut, sis. Itu akan membantu kita memahami konsep yang akan kita diskusikan lebih lanjut.","LOOKING","LOOKING|normal|normal|Talking_6","0.0322","10.08","LOOKING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780288778268","SES-1780288778268","2026-06-01T04:39:38.269Z","bagaimana cara menjawab pertanyaan bu","Menjawab pertanyaan bukanlah tugas yang sulit, tapi perlu dilakukan dengan cara yang benar. Pertama-tama, Anda harus memahami maksud dan tujuan dari pertanyaan tersebut.","COUNTING","COUNTING|Talking_1|Talking_5|terbuka|Talking_5","0.0377","13.128","COUNTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780289654729","SES-1780289654729","2026-06-01T04:54:14.730Z","Silakan angkat tangan jika kalian ingin menjawab pertanyaan ini","Lihatlah bagian atas!","QUICK_INFORMAL_BOW","QUICK_INFORMAL_BOW","0.0327","2.256","QUICK_INFORMAL_BOW","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780326493078","SES-1780326493078","2026-06-01T15:08:13.079Z","perhatikan diagram arsitektur ini","Perhatikan bagian yang berwarna biru, itu adalah layer aplikasi yang terintegrasi dengan sistem operasi.","POINTING","POINTING|POINTING|POINTING","0.0481","8.544","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780500564165","SES-1780500564165","2026-06-03T15:29:24.167Z","apa kabar bu","Saya baik-baik saja, terima kasih!","THANKFUL","THANKFUL|Talking_7","0.0789","3.6","THANKFUL","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780500663480","SES-1780500663480","2026-06-03T15:31:03.481Z","apakah saya boleh angkat tangan menjawab petanyaan","Ya, Anda boleh menggunakan gesture untuk menjawab pertanyaan!","HAND_RAISING","HAND_RAISING|Talking_4","0.0736","5.424","HAND_RAISING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780500961061","SES-1780500961061","2026-06-03T15:36:01.062Z","perhatikan diagram arsitektur ini","Perhatikan bagian diagram yang menunjukkan struktur sistem, itu akan membantu Anda memahami bagaimana komponen-komponen bekerja sama.","POINTING","POINTING|POINTING|POINTING","0.0661","10.176","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780501830794","SES-1780501830794","2026-06-03T15:50:30.795Z","bagaimana merancang database","Merancang sebuah database memerlukan beberapa langkah dasar, seperti menentukan entitas, atribut, dan relasi antara data. Perhatikan bagian tentang Normalisasi Data untuk memahami cara mengorganisasikan data dengan baik.","ACKNOWLEDGING","ACKNOWLEDGING|normal|Talking_1|Talking_4|terbuka|menjelaskan_normal|Talking_6","0.0617","18.504","ACKNOWLEDGING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780506146437","SES-1780506146437","2026-06-03T17:02:26.438Z","Silakan angkat tangan jika kalian ingin menjawab pertanyaan ini","Perhatikan bagian...","POINTING","POINTING|POINTING|POINTING","0.0808","1.8","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780506337315","SES-1780506337315","2026-06-03T17:05:37.316Z","apakah saya boleh angkat tangan bertanya","Ya, silakan!","HAND_RAISING","HAND_RAISING","0.0605","1.704","HAND_RAISING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780506448171","SES-1780506448171","2026-06-03T17:07:28.172Z","Cermati tampilan pada layar ini agar kalian memahami hubungan antar bagian.","Perhatikan bagian diagram untuk memahami hubungan antara bagian.","POINTING","POINTING|POINTING|POINTING","0.0721","5.784","POINTING","audios/generated.json","","","","","","","","","","system-log",""
"SES-1780506503497","SES-1780506503497","2026-06-03T17:08:23.497Z","saya sudah hadr bu","Saya melihat Anda telah hadir di kelas! Silakan lanjutkan pertanyaan atau diskusi Anda.","STANDING_GREETING","STANDING_GREETING|STANDING_GREETING","0.0652","8.088","STANDING_GREETING","audios/generated.json","","","","","","","","","","system-log",""
